attrib_name,TCGA.OR.A5J1,TCGA.OR.A5J2,TCGA.OR.A5J3,TCGA.OR.A5J4,TCGA.OR.A5J5,TCGA.OR.A5J6,TCGA.OR.A5J7,TCGA.OR.A5J8,TCGA.OR.A5J9,TCGA.OR.A5JA,TCGA.OR.A5JB,TCGA.OR.A5JC,TCGA.OR.A5JD,TCGA.OR.A5JE,TCGA.OR.A5JF,TCGA.OR.A5JG,TCGA.OR.A5JI,TCGA.OR.A5JJ,TCGA.OR.A5JK,TCGA.OR.A5JL,TCGA.OR.A5JM,TCGA.OR.A5JO,TCGA.OR.A5JP,TCGA.OR.A5JQ,TCGA.OR.A5JR,TCGA.OR.A5JS,TCGA.OR.A5JT,TCGA.OR.A5JV,TCGA.OR.A5JW,TCGA.OR.A5JX,TCGA.OR.A5JY,TCGA.OR.A5JZ,TCGA.OR.A5K0,TCGA.OR.A5K1,TCGA.OR.A5K2,TCGA.OR.A5K3,TCGA.OR.A5K4,TCGA.OR.A5K5,TCGA.OR.A5K6,TCGA.OR.A5K8,TCGA.OR.A5K9,TCGA.OR.A5KO,TCGA.OR.A5KT,TCGA.OR.A5KU,TCGA.OR.A5KV,TCGA.OR.A5KW,TCGA.OR.A5KX,TCGA.OR.A5KY,TCGA.OR.A5KZ,TCGA.OR.A5L3,TCGA.OR.A5L4,TCGA.OR.A5L5,TCGA.OR.A5L6,TCGA.OR.A5L8,TCGA.OR.A5L9,TCGA.OR.A5LA,TCGA.OR.A5LB,TCGA.OR.A5LC,TCGA.OR.A5LD,TCGA.OR.A5LE,TCGA.OR.A5LG,TCGA.OR.A5LH,TCGA.OR.A5LJ,TCGA.OR.A5LK,TCGA.OR.A5LL,TCGA.OR.A5LM,TCGA.OR.A5LN,TCGA.OR.A5LO,TCGA.OR.A5LP,TCGA.OR.A5LR,TCGA.OR.A5LS,TCGA.OR.A5LT,TCGA.OU.A5PI,TCGA.P6.A5OF,TCGA.P6.A5OG,TCGA.PA.A5YG,TCGA.PK.A5H8,TCGA.PK.A5H9,TCGA.PK.A5HA,TCGA.PK.A5HB
hsa-mir-642a,0.7721,1.1832,1.2442,1.956,1.6265,3.49,2.4075,2.321,0.7317,3.517,2.8274,0,0.8597,1.1181,1.1223,0.7316,1.4947,0,0.957,2.8311,1.9302,0.6869,1.7014,1.8529,0.4576,1.4378,0.4069,1.7402,2.3245,1.9326,2.9211,0,0.3806,2.785,0.4742,1.3418,0.2116,2.0761,1.3583,1.7918,0.545,1.2091,3.3813,1.8142,2.2437,1.4955,2.6125,1.6608,0.5078,2.1925,0.7786,1.2173,0.6044,0.3199,0.978,1.5315,0.2858,3.3757,0.6572,0.7072,0.5318,1.8393,1.8715,1.0128,0.1993,0.7173,1.0776,0.7725,1.1504,1.3593,1.7751,0.2073,0.9282,1.934,1.5695,1.6663,0.5844,2.4493,1.5609,3.4927
hsa-mir-642b,0,0,0,0,0,0,0,0,0,0,0.4016,0,0,0,0.2584,0,0,0,0,0,0,0,0.2482,0,0,0.2276,0,0,0,0,0.3493,0,0,0,0.2565,0,0,0,0,0,0,0,0.2585,0,0,0,0.1995,0,0.2761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5293,0.226,0,0,0,0,0,0.2314,0,0,0,0,0,0,0,0,0,0
hsa-mir-643,0.235,0.7521,0.4762,0.9708,0.9735,1.0548,1.492,0.6163,0.7317,2.0889,1.3811,0.5073,1.3947,0.4753,0.4775,2.3112,0.6835,0.7735,0.7026,1.257,1.1695,0.166,0.808,0.9036,0.951,0.891,0,1.187,1.0561,0,0.6303,0.588,0.5388,0.8811,0.2565,1.7234,0.5597,0.778,0.3926,0.5777,0,1.0658,0.4777,0.6606,0,1.7996,0.1032,1.4322,1.4262,0.3502,1.4165,0.7334,1.3567,0.6966,1.1679,0.7051,1.4609,1.2465,1.007,0.8824,0,0.6,2.0365,0.7472,0.1993,0.7173,0.5616,0.7725,1.3009,0.2314,1.0712,0.6942,0.2395,0,1.4005,0.8767,1.321,0.194,1.3317,2.6155
hsa-mir-651,3.135,1.4644,0.8337,2.4114,2.5404,1.9866,0.5393,1.2217,2.1054,4.3104,0.9729,1.819,3.4298,2.11,2.2996,1.5761,2.6559,3.3026,2.4586,1.9184,0.7002,1.8809,2.0672,2.1644,1.995,2.3018,3.5549,2.0677,2.3682,1.3171,3.116,3.4676,1.5667,2.546,0,3.1791,4.5794,1.2807,2.2489,1.6481,1.9941,2.7874,2.6094,2.1013,2.4768,2.8651,1.3119,1.2569,2.743,2.0078,2.1945,2.6554,2.2148,1.9468,2.3663,2.8684,2.0241,1.7171,2.0105,2.0576,1.0286,2.8456,1.4714,2.6062,1.2222,1.8386,2.6405,2.599,2.0606,3.1702,1.215,1.0576,1.4884,1.5265,1.7207,2.3259,1.5839,2.1077,1.8482,3.255
hsa-mir-652,3.7039,3.4936,4.7021,5.6052,4.0086,4.2718,3.9545,4.0168,4.3014,4.672,5.7537,4.4221,4.2421,4.3855,3.7814,2.6517,4.3817,3.9248,4.5728,5.0062,3.882,3.0772,3.3232,4.3016,3.9067,3.9245,5.4273,4.9644,3.4005,5.0219,4.5522,4.3484,5.0244,3.628,3.4997,4.9053,4.8561,3.8661,3.5785,3.565,2.7023,3.4671,3.862,4.6552,4.3872,3.2879,3.758,3.6174,4.3207,3.74,3.6099,4.764,3.7535,2.7989,5.0445,4.8759,4.0683,4.2006,4.69,5.71,3.2204,7.0357,3.3022,4.849,3.2391,4.1495,4.2424,6.0762,3.3943,4.2416,4.6055,3.6716,2.9414,4.2014,5.275,5.24,3.9054,3.5062,4.6839,4.7721
hsa-mir-653,4.0959,2.0454,2.8979,0.9708,3.0118,3.5242,1.8043,3.9686,2.1054,1.4398,3.4945,3.528,6.5837,2.11,3.2676,2.4915,5.7954,1.4717,3.6682,2.2905,0.7002,3.1971,3.4525,4.7063,6.4436,0.5971,2.3884,6.3776,1.5871,2.4958,4.3921,3.33,1.3273,2.546,2.8532,3.1166,2.5601,0.4409,3.332,3.5037,2.8006,2.0976,2.6993,0.9767,3.3989,2.1071,1.8158,3.882,1.5352,3.7694,3.4616,4.5358,3.6577,1.2422,4.7793,6.2756,1.8597,1.5009,1.2006,3.6908,3.0754,3.3621,0.9156,7.6252,2.2335,2.2824,6.9388,1.3889,4.9317,3.4015,0.7318,2.6798,4.5368,1.7446,2.5656,6.5873,2.5836,3.5423,5.7573,1.2434
hsa-mir-654,8.9226,2.7163,8.8087,8.0101,9.5084,10.8834,9.9292,9.1498,1.9496,9.7524,1.6989,7.2997,6.0571,9.7931,4.4457,10.8334,7.5437,9.8066,8.8556,10.4049,2.5844,8.4096,8.8633,2.4591,2.061,8.6034,2.9713,3.3735,2.8415,7.3273,2.6956,2.7625,1.6384,3.4997,8.4074,7.47,10.6792,8.983,9.8141,3.1506,9.2167,10.2324,8.8975,3.1598,9.7063,10.0777,7.6983,3.5806,9.0641,8.134,9.8639,8.8155,2.4157,9.0719,2.582,9.3016,7.4796,9.3413,9.3136,10.4091,8.4103,3.1268,9.2378,3.7423,4.9777,9.9177,8.006,8.5415,3.0564,3.1702,9.9196,5.8999,8.3922,9.5616,5.8184,2.0626,10.2809,9.4789,4.1268,9.1786
hsa-mir-655,5.0684,0.5741,6.66,6.0152,6.8477,7.3139,6.8049,5.7268,0,7.2273,0.7154,4.9505,2.4544,7.2628,1.9054,7.6038,4.5683,6.5911,6.5906,7.7561,1.1695,5.2228,5.7019,1.0114,0.2469,6.5672,0,1.187,0.5485,4.1623,1.5447,0.588,0,0.706,5.0318,4.4786,7.0126,5.9486,5.8325,0.5777,7.2107,7.1939,6.0218,1.7325,5.9451,7.0553,5.1244,1.0573,6.1799,4.2578,7.5816,4.9762,0.4296,6.0264,0.8728,5.7307,4.3576,5.8628,6.471,7.9702,5.2077,1.0224,6.1046,0.8861,3.9555,6.9768,5.0185,7.4729,0.5733,0,6.9033,3.2239,4.9781,6.0419,3.8196,1.0025,7.9984,5.2475,1.2018,5.8688
hsa-mir-656,4.14,0.1345,4.9413,3.852,5.0704,5.7921,5.2627,2.9869,0.2871,5.4018,0.4016,2.5986,2.0905,5.1512,0.8356,5.7682,2.6902,5.1602,5.6721,5.9644,0.2094,3.3602,4.0994,0,0.4576,4.8762,0.4069,0,0.2069,3.0226,0.6303,0,0.2028,0.5068,3.4233,3.6886,5.0336,3.5945,4.4565,0,4.9358,4.9522,4.0786,0.4721,4.5495,5.6476,3.0341,0,4.3949,3.6794,6.5766,3.5768,0.2307,4.7586,0,4.5662,3.1158,4.3537,5.1311,5.8218,3.7998,0,3.6465,0,1.8147,5.6973,3.8083,5.5051,0,0,5.4504,1.9188,3.9322,4.0042,1.5695,0,5.7399,4.5248,0.5194,4.5374
hsa-mir-658,0.235,0,0,0.2141,0.5673,0,0.7483,0,0.2871,0.7528,1.1914,0.5073,0,0,0.2584,0,0,1.0455,0.1435,0.3539,0.3922,0.3149,0,0.5214,0.6415,0.2276,0.9837,0.5116,0.2069,0.2212,0,0.3237,0.5388,0,0.2565,0.2532,0.7066,0,0,0.5777,0.9397,1.0658,0.2585,0,0.5009,0.4123,0,0,0.2761,0,0,0.4128,0,0.1688,0.3529,0.2751,0,0.5435,0,0.1446,0.5318,0.3309,0,0.4214,0,0,0.5616,0,0,1.0312,0,0.6942,0,0,0,0.5866,0,0.365,0.283,1.7626
hsa-mir-659,0.7721,1.0533,0.666,1.2869,0.4018,1.0548,1.0929,0.6163,0.5265,0.7528,0.9729,0,0,1.3567,0.6676,1.2148,1.043,1.0455,1.5273,0.875,1.5994,0.7922,0.808,0.9036,0.951,1.9009,0.4069,1.6453,0.8245,0.7337,0.6303,1.3273,1.1424,0.8811,2.1068,1.105,1.0744,0.4409,1.8082,0.9891,0.545,0.2853,1.4679,1.2358,1.9657,1.2162,0.6031,0.946,0.5078,1.677,1.2815,1.2173,0.9009,1.316,0.8728,0.7051,0.7288,1.2465,0.8996,1.3682,1.4766,0,1.4714,0.5935,1.6878,1.1943,0.7089,0.5906,0.9825,1.149,1.0712,1.0576,0.4448,1.2694,0.4092,1.1181,1.321,1.1053,0.9006,1.6094
hsa-mir-660,5.9836,5.2827,6.089,5.4073,6.4574,5.6523,7.0516,7.0396,7.0803,6.7555,5.7102,6.8973,7.5324,5.5679,6.7029,6.1366,6.6006,8.1134,6.3785,6.2009,4.4547,7.7312,5.296,5.6578,6.3608,5.7173,7.1069,7.1223,6.3702,6.1485,6.249,6.7704,4.8691,6.898,5.0058,7.8031,7.5465,4.9045,4.9407,6.1249,6.511,6.104,6.6954,6.3798,7.0954,6.0732,4.7361,5.2385,6.1156,5.9215,7.2856,6.6823,6.6216,4.8731,6.6724,7.5284,6.9327,5.4447,4.2283,4.234,5.649,7.8026,5.4879,6.9361,6.6809,6.4267,6.7854,6.9042,6.1795,6.0645,6.7346,6.0113,6.8127,5.9788,6.5917,7.1931,6.5453,7.8543,7.5245,7.5282
hsa-mir-663,0.4371,0,0,0.5656,0,0.6217,0.2947,0,0.9114,0.2281,0,0,0,0.2571,0,0,0.2035,0,0.274,1.0786,1.9302,0,0.4598,0.3676,0.2469,0.2276,0,0.2784,0,0,0.6303,0,0,0.2755,1.2399,0.4685,0,1.8081,0.7009,0.5777,0.2981,0,1.1227,0.2553,3.2806,0,0.3747,0,3.9395,0.3502,0.9664,0.4128,0.4296,0,0,0,0,0.9374,0.3657,0.9626,0.1999,0.3309,0.5293,0.226,0,0,0.7089,0.2659,0,0,0.2872,0.2073,0,0,0.4092,0,0.5844,0.365,0.283,4.2309
hsa-mir-664,6.4339,5.8577,7.3428,5.706,6.499,6.4101,4.3245,5.8519,6.2201,7.0447,5.7876,7.1256,6.2236,5.3643,6.7614,7.2187,6.658,6.38,6.9146,7.5252,4.1079,5.6931,6.5445,6.4024,7.8859,6.4166,6.9749,8.2801,6.694,6.9423,7.178,8.165,5.9145,7.4305,6.1702,7.0064,7.5019,6.2557,7.0886,6.5833,5.9447,6.4272,6.3925,6.5081,6.0391,7.3541,4.645,5.9826,5.5344,7.6069,7.3649,7.4776,6.4025,5.9931,8.9437,7.8651,6.0364,6.0134,5.3459,6.1261,6.6063,7.3863,5.9885,7.4765,6.5751,6.8537,7.6158,7.0709,6.9762,7.9833,7.4709,6.4516,6.7293,6.3718,4.9924,6.8936,8.5161,5.4839,7.4883,6.8132
